location,continent,year,bloom_doy
Japan/Wakkanai,Asia,1953,150
Japan/Wakkanai,Asia,1954,147
Japan/Wakkanai,Asia,1955,143
Japan/Wakkanai,Asia,1956,135
Japan/Wakkanai,Asia,1957,142
Japan/Wakkanai,Asia,1958,145
Japan/Wakkanai,Asia,1959,132
Japan/Wakkanai,Asia,1960,145
Japan/Wakkanai,Asia,1961,138
Japan/Wakkanai,Asia,1962,137
Japan/Wakkanai,Asia,1963,135
Japan/Wakkanai,Asia,1965,142
Japan/Wakkanai,Asia,1974,142
Japan/Wakkanai,Asia,1975,142
Japan/Wakkanai,Asia,1976,144
Japan/Wakkanai,Asia,1977,146
Japan/Wakkanai,Asia,1978,139
Japan/Wakkanai,Asia,1979,146
Japan/Wakkanai,Asia,1980,148
Japan/Wakkanai,Asia,1981,135
Japan/Wakkanai,Asia,1982,138
Japan/Wakkanai,Asia,1983,132
Japan/Wakkanai,Asia,1984,147
Japan/Wakkanai,Asia,1985,137
Japan/Wakkanai,Asia,1986,138
Japan/Wakkanai,Asia,1987,139
Japan/Wakkanai,Asia,1988,141
Japan/Wakkanai,Asia,1989,139
Japan/Wakkanai,Asia,1990,129
Japan/Wakkanai,Asia,1991,138
Japan/Wakkanai,Asia,1992,140
Japan/Wakkanai,Asia,1993,138
Japan/Wakkanai,Asia,1994,139
Japan/Wakkanai,Asia,1995,131
Japan/Wakkanai,Asia,1996,146
Japan/Wakkanai,Asia,1997,142
Japan/Wakkanai,Asia,1998,134
Japan/Wakkanai,Asia,1999,138
Japan/Wakkanai,Asia,2000,142
Japan/Wakkanai,Asia,2001,139
Japan/Wakkanai,Asia,2002,122
Japan/Wakkanai,Asia,2003,134
Japan/Wakkanai,Asia,2004,133
Japan/Wakkanai,Asia,2005,148
Japan/Wakkanai,Asia,2006,140
Japan/Wakkanai,Asia,2007,137
Japan/Wakkanai,Asia,2008,126
Japan/Wakkanai,Asia,2009,132
Japan/Wakkanai,Asia,2010,145
Japan/Wakkanai,Asia,2011,145
Japan/Wakkanai,Asia,2012,139
Japan/Wakkanai,Asia,2013,148
Japan/Wakkanai,Asia,2014,133
Japan/Wakkanai,Asia,2015,126
Japan/Wakkanai,Asia,2016,136
Japan/Wakkanai,Asia,2017,131
Japan/Wakkanai,Asia,2018,135
Japan/Wakkanai,Asia,2019,129
Japan/Wakkanai,Asia,2020,133
Japan/Wakkanai,Asia,2021,131
Japan/Rumoi,Asia,1953,133
Japan/Rumoi,Asia,1954,137
Japan/Rumoi,Asia,1955,136
Japan/Rumoi,Asia,1956,135
Japan/Rumoi,Asia,1957,134
Japan/Rumoi,Asia,1958,136
Japan/Rumoi,Asia,1961,133
Japan/Rumoi,Asia,1962,136
Japan/Rumoi,Asia,1963,137
Japan/Rumoi,Asia,1964,132
Japan/Rumoi,Asia,1965,143
Japan/Rumoi,Asia,1966,140
Japan/Rumoi,Asia,1967,139
Japan/Rumoi,Asia,1968,132
Japan/Rumoi,Asia,1969,138
Japan/Rumoi,Asia,1970,131
Japan/Rumoi,Asia,1971,141
Japan/Rumoi,Asia,1973,138
Japan/Rumoi,Asia,1974,138
Japan/Rumoi,Asia,1975,132
Japan/Rumoi,Asia,1976,137
Japan/Rumoi,Asia,1977,136
Japan/Rumoi,Asia,1978,134
Japan/Rumoi,Asia,1979,140
Japan/Rumoi,Asia,1980,143
Japan/Rumoi,Asia,1981,133
Japan/Rumoi,Asia,1982,132
Japan/Rumoi,Asia,1983,123
Japan/Rumoi,Asia,1984,144
Japan/Rumoi,Asia,1985,133
Japan/Rumoi,Asia,1986,131
Japan/Rumoi,Asia,1987,135
Japan/Rumoi,Asia,1988,133
Japan/Rumoi,Asia,1989,127
Japan/Rumoi,Asia,1990,121
Japan/Rumoi,Asia,1991,131
Japan/Rumoi,Asia,1992,137
Japan/Rumoi,Asia,1993,134
Japan/Rumoi,Asia,1994,138
Japan/Rumoi,Asia,1995,129
Japan/Rumoi,Asia,1996,143
Japan/Rumoi,Asia,1997,134
Japan/Rumoi,Asia,1998,123
Japan/Rumoi,Asia,1999,139
Japan/Rumoi,Asia,2000,138
Japan/Rumoi,Asia,2001,134
Japan/Rumoi,Asia,2002,122
Japan/Rumoi,Asia,2003,133
Japan/Rumoi,Asia,2004,134
Japan/Rumoi,Asia,2005,143
Japan/Rumoi,Asia,2006,136
Japan/Rumoi,Asia,2007,134
Japan/Rumoi,Asia,2008,122
Japan/Asahikawa,Asia,1953,136
Japan/Asahikawa,Asia,1954,138
Japan/Asahikawa,Asia,1955,134
Japan/Asahikawa,Asia,1956,134
Japan/Asahikawa,Asia,1957,134
Japan/Asahikawa,Asia,1958,135
Japan/Asahikawa,Asia,1959,133
Japan/Asahikawa,Asia,1960,137
Japan/Asahikawa,Asia,1961,132
Japan/Asahikawa,Asia,1962,131
Japan/Asahikawa,Asia,1963,133
Japan/Asahikawa,Asia,1964,137
Japan/Asahikawa,Asia,1965,139
Japan/Asahikawa,Asia,1966,138
Japan/Asahikawa,Asia,1967,128
Japan/Asahikawa,Asia,1968,126
Japan/Asahikawa,Asia,1969,129
Japan/Asahikawa,Asia,1970,130
Japan/Asahikawa,Asia,1971,135
Japan/Asahikawa,Asia,1972,125
Japan/Asahikawa,Asia,1973,131
Japan/Asahikawa,Asia,1974,135
Japan/Asahikawa,Asia,1975,132
Japan/Asahikawa,Asia,1976,135
Japan/Asahikawa,Asia,1977,134
Japan/Asahikawa,Asia,1978,131
Japan/Asahikawa,Asia,1979,135
Japan/Asahikawa,Asia,1980,140
Japan/Asahikawa,Asia,1981,127
Japan/Asahikawa,Asia,1982,127
Japan/Asahikawa,Asia,1983,119
Japan/Asahikawa,Asia,1984,138
Japan/Asahikawa,Asia,1985,126
Japan/Asahikawa,Asia,1986,128
Japan/Asahikawa,Asia,1987,130
Japan/Asahikawa,Asia,1988,132
Japan/Asahikawa,Asia,1989,126
Japan/Asahikawa,Asia,1990,123
Japan/Asahikawa,Asia,1991,127
Japan/Asahikawa,Asia,1992,132
Japan/Asahikawa,Asia,1993,131
Japan/Asahikawa,Asia,1994,133
Japan/Asahikawa,Asia,1995,124
Japan/Asahikawa,Asia,1996,134
Japan/Asahikawa,Asia,1997,127
Japan/Asahikawa,Asia,1998,115
Japan/Asahikawa,Asia,1999,128
Japan/Asahikawa,Asia,2000,132
Japan/Asahikawa,Asia,2001,127
Japan/Asahikawa,Asia,2002,115
Japan/Asahikawa,Asia,2003,124
Japan/Asahikawa,Asia,2004,130
Japan/Asahikawa,Asia,2005,137
Japan/Asahikawa,Asia,2006,132
Japan/Asahikawa,Asia,2007,128
Japan/Asahikawa,Asia,2008,117
Japan/Asahikawa,Asia,2009,124
Japan/Asahikawa,Asia,2010,133
Japan/Asahikawa,Asia,2011,132
Japan/Asahikawa,Asia,2012,123
Japan/Asahikawa,Asia,2013,140
Japan/Asahikawa,Asia,2014,124
Japan/Asahikawa,Asia,2015,118
Japan/Asahikawa,Asia,2016,125
Japan/Asahikawa,Asia,2017,125
Japan/Asahikawa,Asia,2018,121
Japan/Asahikawa,Asia,2019,124
Japan/Asahikawa,Asia,2020,125
Japan/Asahikawa,Asia,2021,123
Japan/Abashiri,Asia,1953,146
Japan/Abashiri,Asia,1954,139
Japan/Abashiri,Asia,1955,140
Japan/Abashiri,Asia,1956,134
Japan/Abashiri,Asia,1959,127
Japan/Abashiri,Asia,1966,141
Japan/Abashiri,Asia,1968,131
Japan/Abashiri,Asia,1969,133
Japan/Abashiri,Asia,1970,130
Japan/Abashiri,Asia,1971,140
Japan/Abashiri,Asia,1972,127
Japan/Abashiri,Asia,1973,133
Japan/Abashiri,Asia,1974,138
Japan/Abashiri,Asia,1975,137
Japan/Abashiri,Asia,1976,137
Japan/Abashiri,Asia,1977,136
Japan/Abashiri,Asia,1978,134
Japan/Abashiri,Asia,1979,146
Japan/Abashiri,Asia,1980,144
Japan/Abashiri,Asia,1981,137
Japan/Abashiri,Asia,1982,133
Japan/Abashiri,Asia,1983,125
Japan/Abashiri,Asia,1984,147
Japan/Abashiri,Asia,1985,132
Japan/Abashiri,Asia,1986,130
Japan/Abashiri,Asia,1987,131
Japan/Abashiri,Asia,1988,136
Japan/Abashiri,Asia,1989,139
Japan/Abashiri,Asia,1990,129
Japan/Abashiri,Asia,1991,130
Japan/Abashiri,Asia,1992,137
Japan/Abashiri,Asia,1993,142
Japan/Abashiri,Asia,1994,137
Japan/Abashiri,Asia,1995,130
Japan/Abashiri,Asia,1996,148
Japan/Abashiri,Asia,1997,135
Japan/Abashiri,Asia,1998,121
Japan/Abashiri,Asia,1999,133
Japan/Abashiri,Asia,2000,142
Japan/Abashiri,Asia,2001,133
Japan/Abashiri,Asia,2002,121
Japan/Abashiri,Asia,2003,132
Japan/Abashiri,Asia,2004,134
Japan/Abashiri,Asia,2005,145
Japan/Abashiri,Asia,2006,137
Japan/Abashiri,Asia,2007,136
Japan/Abashiri,Asia,2008,126
Japan/Abashiri,Asia,2009,127
Japan/Abashiri,Asia,2010,138
Japan/Abashiri,Asia,2011,138
Japan/Abashiri,Asia,2012,126
Japan/Abashiri,Asia,2013,147
Japan/Abashiri,Asia,2014,131
Japan/Abashiri,Asia,2015,123
Japan/Abashiri,Asia,2016,131
Japan/Abashiri,Asia,2017,127
Japan/Abashiri,Asia,2018,126
Japan/Abashiri,Asia,2019,127
Japan/Abashiri,Asia,2020,130
Japan/Abashiri,Asia,2021,127
Japan/Sapporo,Asia,1953,134
Japan/Sapporo,Asia,1954,128
Japan/Sapporo,Asia,1955,136
Japan/Sapporo,Asia,1956,130
Japan/Sapporo,Asia,1957,133
Japan/Sapporo,Asia,1959,130
Japan/Sapporo,Asia,1960,130
Japan/Sapporo,Asia,1961,129
Japan/Sapporo,Asia,1962,125
Japan/Sapporo,Asia,1963,125
Japan/Sapporo,Asia,1964,128
Japan/Sapporo,Asia,1965,136
Japan/Sapporo,Asia,1966,131
Japan/Sapporo,Asia,1967,124
Japan/Sapporo,Asia,1968,125
Japan/Sapporo,Asia,1969,130
Japan/Sapporo,Asia,1970,129
Japan/Sapporo,Asia,1971,133
Japan/Sapporo,Asia,1972,122
Japan/Sapporo,Asia,1973,127
Japan/Sapporo,Asia,1974,133
Japan/Sapporo,Asia,1975,128
Japan/Sapporo,Asia,1976,131
Japan/Sapporo,Asia,1977,132
Japan/Sapporo,Asia,1978,133
Japan/Sapporo,Asia,1979,134
Japan/Sapporo,Asia,1980,139
Japan/Sapporo,Asia,1981,128
Japan/Sapporo,Asia,1982,128
Japan/Sapporo,Asia,1983,121
Japan/Sapporo,Asia,1984,142
Japan/Sapporo,Asia,1985,128
Japan/Sapporo,Asia,1986,129
Japan/Sapporo,Asia,1987,129
Japan/Sapporo,Asia,1988,128
Japan/Sapporo,Asia,1989,124
Japan/Sapporo,Asia,1990,119
Japan/Sapporo,Asia,1991,127
Japan/Sapporo,Asia,1992,131
Japan/Sapporo,Asia,1993,130
Japan/Sapporo,Asia,1994,129
Japan/Sapporo,Asia,1995,123
Japan/Sapporo,Asia,1996,133
Japan/Sapporo,Asia,1997,125
Japan/Sapporo,Asia,1998,116
Japan/Sapporo,Asia,1999,128
Japan/Sapporo,Asia,2000,132
Japan/Sapporo,Asia,2001,125
Japan/Sapporo,Asia,2002,115
Japan/Sapporo,Asia,2003,124
Japan/Sapporo,Asia,2004,130
Japan/Sapporo,Asia,2005,136
Japan/Sapporo,Asia,2006,132
Japan/Sapporo,Asia,2007,128
Japan/Sapporo,Asia,2008,116
Japan/Sapporo,Asia,2009,124
Japan/Sapporo,Asia,2010,134
Japan/Sapporo,Asia,2011,132
Japan/Sapporo,Asia,2012,123
Japan/Sapporo,Asia,2013,137
Japan/Sapporo,Asia,2014,121
Japan/Sapporo,Asia,2015,116
Japan/Sapporo,Asia,2016,122
Japan/Sapporo,Asia,2017,123
Japan/Sapporo,Asia,2018,119
Japan/Sapporo,Asia,2019,119
Japan/Sapporo,Asia,2020,123
Japan/Sapporo,Asia,2021,117
Japan/Iwamizawa,Asia,1953,131
Japan/Iwamizawa,Asia,1954,129
Japan/Iwamizawa,Asia,1955,133
Japan/Iwamizawa,Asia,1956,130
Japan/Iwamizawa,Asia,1958,134
Japan/Iwamizawa,Asia,1960,136
Japan/Iwamizawa,Asia,1961,127
Japan/Iwamizawa,Asia,1962,125
Japan/Iwamizawa,Asia,1963,132
Japan/Iwamizawa,Asia,1964,131
Japan/Iwamizawa,Asia,1965,140
Japan/Iwamizawa,Asia,1966,137
Japan/Iwamizawa,Asia,1967,130
Japan/Iwamizawa,Asia,1968,127
Japan/Iwamizawa,Asia,1969,133
Japan/Iwamizawa,Asia,1970,133
Japan/Iwamizawa,Asia,1971,137
Japan/Iwamizawa,Asia,1972,127
Japan/Iwamizawa,Asia,1973,130
Japan/Iwamizawa,Asia,1974,134
Japan/Iwamizawa,Asia,1975,131
Japan/Iwamizawa,Asia,1976,134
Japan/Iwamizawa,Asia,1977,135
Japan/Iwamizawa,Asia,1978,134
Japan/Iwamizawa,Asia,1979,134
Japan/Iwamizawa,Asia,1980,139
Japan/Iwamizawa,Asia,1981,129
Japan/Iwamizawa,Asia,1982,128
Japan/Iwamizawa,Asia,1983,120
Japan/Iwamizawa,Asia,1984,141
Japan/Iwamizawa,Asia,1985,130
Japan/Iwamizawa,Asia,1986,128
Japan/Iwamizawa,Asia,1987,129
Japan/Iwamizawa,Asia,1988,128
Japan/Iwamizawa,Asia,1989,121
Japan/Iwamizawa,Asia,1990,120
Japan/Iwamizawa,Asia,1991,126
Japan/Iwamizawa,Asia,1992,131
Japan/Iwamizawa,Asia,1993,129
Japan/Iwamizawa,Asia,1994,131
Japan/Iwamizawa,Asia,1995,125
Japan/Iwamizawa,Asia,1996,130
Japan/Iwamizawa,Asia,1997,125
Japan/Iwamizawa,Asia,1998,117
Japan/Iwamizawa,Asia,1999,127
Japan/Iwamizawa,Asia,2000,131
Japan/Iwamizawa,Asia,2001,127
Japan/Iwamizawa,Asia,2002,115
Japan/Iwamizawa,Asia,2003,123
Japan/Iwamizawa,Asia,2004,128
Japan/Iwamizawa,Asia,2005,133
Japan/Iwamizawa,Asia,2006,132
Japan/Obihiro,Asia,1953,139
Japan/Obihiro,Asia,1954,132
Japan/Obihiro,Asia,1955,134
Japan/Obihiro,Asia,1956,130
Japan/Obihiro,Asia,1957,134
Japan/Obihiro,Asia,1958,136
Japan/Obihiro,Asia,1959,125
Japan/Obihiro,Asia,1960,136
Japan/Obihiro,Asia,1961,129
Japan/Obihiro,Asia,1962,127
Japan/Obihiro,Asia,1963,130
Japan/Obihiro,Asia,1964,131
Japan/Obihiro,Asia,1965,137
Japan/Obihiro,Asia,1966,137
Japan/Obihiro,Asia,1967,125
Japan/Obihiro,Asia,1968,126
Japan/Obihiro,Asia,1969,130
Japan/Obihiro,Asia,1970,133
Japan/Obihiro,Asia,1971,136
Japan/Obihiro,Asia,1972,127
Japan/Obihiro,Asia,1973,129
Japan/Obihiro,Asia,1974,132
Japan/Obihiro,Asia,1975,134
Japan/Obihiro,Asia,1976,132
Japan/Obihiro,Asia,1977,133
Japan/Obihiro,Asia,1978,133
Japan/Obihiro,Asia,1979,137
Japan/Obihiro,Asia,1980,137
Japan/Obihiro,Asia,1981,127
Japan/Obihiro,Asia,1982,129
Japan/Obihiro,Asia,1983,123
