Model,Lag_window,N,R2,RMSE
Tree,None,255,0.6497,5.144
Tree,2,249,0.6531,5.0556
Tree,3,246,0.698,4.7045
Tree,4,243,0.6864,4.8154
Tree,5,240,0.6502,5.089
Tree,6,237,0.6837,4.8265
Tree,7,234,0.6821,4.8414
Tree,8,231,0.7104,4.6143
Tree,9,228,0.699,4.7124
Tree,10,225,0.7162,4.5646
Linear,None,255,0.7078,4.6982
Linear,2,249,0.7307,4.4543
Linear,3,246,0.7431,4.3386
Linear,4,243,0.7473,4.3227
Linear,5,240,0.7413,4.3767
Linear,6,237,0.7251,4.4996
Linear,7,234,0.7243,4.5086
Linear,8,231,0.7228,4.5143
Linear,9,228,0.7176,4.5642
Linear,10,225,0.6826,4.8265
RF,None,255,0.7468,4.3735
RF,2,249,0.7597,4.2076
RF,3,246,0.7604,4.1901
RF,4,243,0.7753,4.0762
RF,5,240,0.7738,4.0924
RF,6,237,0.7739,4.0812
RF,7,234,0.7682,4.1344
RF,8,231,0.7786,4.0349
RF,9,228,0.7697,4.1215
RF,10,225,0.7689,4.1186
